,sample,timeSinceboot,ADC0,ADC1,ADC2
195,18.0,167181719.0,1.527539,0.671118,0.646948
196,17.0,167186742.0,1.476782,0.688037,0.667895
197,16.0,167191760.0,1.517065,0.695288,0.672729
198,15.0,167196778.0,1.538013,0.677563,0.654199
199,14.0,167201796.0,1.475171,0.67998,0.659839
200,13.0,167206814.0,1.509009,0.695288,0.672729
201,11.0,167216850.0,1.499341,0.671924,0.650171
202,10.0,167221868.0,1.496924,0.692871,0.671924
203,10.0,167226886.0,1.520288,0.689648,0.667895
204,9.0,167231905.0,1.51626,0.667895,0.645337
205,8.0,167236923.0,1.488062,0.687231,0.66709
206,7.0,167241941.0,1.518677,0.692065,0.670312
207,6.0,167246959.0,1.531567,0.671924,0.650977
208,5.0,167251977.0,1.475977,0.679175,0.659839
